"Consumer Price Index incl. housing (CPIH), 2015=100","GDP, Seasonally adjusted £m","Employment rate (aged 16 to 64, seasonally adjusted), %","Month average BoE Rate, %",GBP/EUR,GBP/USD,"Business Investment, CVM, SA, in £m, % change",Total managed expenditure: £m,"Total Construction output, seasonally adjusted, m","Construction Material Price Index, 2015 = 100",Small construction companies (up to 59 employees),Medium construction companies (60-299 employees),Large construction companies (300 and more employees),All companies,Number of employees in Small construction companies (up to 59 employees),Number of employees in Medium construction companies (60-299 employees),Number of employees in Large construction companies (300 and more employees),Number of employees in All companies,"Public housing new contracts, £ m","Private Housing new contracts, £ m","Infrastructure new contracts, £ m","Other new contracts, £ m","Private Industrial new contracts, £ m","Private Commercial new contracts, £ m","All new contracts, £ m","Consumer Price Index incl. housing (CPIH), 2015=100_normalized","GDP, Seasonally adjusted £m_normalized","Employment rate (aged 16 to 64, seasonally adjusted), %_normalized","Month average BoE Rate, %_normalized",GBP/EUR_normalized,GBP/USD_normalized,"Business Investment, CVM, SA, in £m, % change_normalized",Total managed expenditure: £m_normalized,"Total Construction output, seasonally adjusted, m_normalized","Construction Material Price Index, 2015 = 100_normalized",Small construction companies (up to 59 employees)_normalized,Medium construction companies (60-299 employees)_normalized,Large construction companies (300 and more employees)_normalized,All companies_normalized,Number of employees in Small construction companies (up to 59 employees)_normalized,Number of employees in Medium construction companies (60-299 employees)_normalized,Number of employees in Large construction companies (300 and more employees)_normalized,Number of employees in All companies_normalized,"Public housing new contracts, £ m_normalized","Private Housing new contracts, £ m_normalized","Infrastructure new contracts, £ m_normalized","Other new contracts, £ m_normalized","Private Industrial new contracts, £ m_normalized","Private Commercial new contracts, £ m_normalized","All new contracts, £ m_normalized","Consumer Price Index incl. housing (CPIH), 2015=100_standardized","GDP, Seasonally adjusted £m_standardized","Employment rate (aged 16 to 64, seasonally adjusted), %_standardized","Month average BoE Rate, %_standardized",GBP/EUR_standardized,GBP/USD_standardized,"Business Investment, CVM, SA, in £m, % change_standardized",Total managed expenditure: £m_standardized,"Total Construction output, seasonally adjusted, m_standardized","Construction Material Price Index, 2015 = 100_standardized",Small construction companies (up to 59 employees)_standardized,Medium construction companies (60-299 employees)_standardized,Large construction companies (300 and more employees)_standardized,All companies_standardized,Number of employees in Small construction companies (up to 59 employees)_standardized,Number of employees in Medium construction companies (60-299 employees)_standardized,Number of employees in Large construction companies (300 and more employees)_standardized,Number of employees in All companies_standardized,"Public housing new contracts, £ m_standardized","Private Housing new contracts, £ m_standardized","Infrastructure new contracts, £ m_standardized","Other new contracts, £ m_standardized","Private Industrial new contracts, £ m_standardized","Private Commercial new contracts, £ m_standardized","All new contracts, £ m_standardized",COVID_Lockdown,HS2_contracts,Commercial_Construction_Boom_2006
80.0,171978.33,72.7,4.5,1.4719,1.7341,-0.17,48767,14270.0,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,251.67,1188.67,564.0,835.67,589.67,2245.0,5674.33,0.029929577464788783,0.20698627241471584,0.40625000000000094,0.7787610619469026,0.9145299145299145,0.6423248882265274,0.3609022556390977,0.08828342333496973,0.583169802608796,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.6727838827838828,0.7343603334989787,0.12169700214132761,0.5047293926618607,0.7812017669913246,0.748894783377542,0.8970039149627969,-1.4305768112972077,-1.137022090992664,-0.3761363201373607,1.2919764196767924,2.0653221443341896,0.9472517980907103,-0.1630926194285378,-1.3583385702516846,-0.49044096877423865,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,1.0519034313256104,0.7530524902550895,-0.6314720188708819,0.7286277064989617,1.7703608728319742,1.8744877008891316,1.7813279097591244,0,0,0
80.3,171978.33,72.8,4.5,1.4725,1.7462,-0.17,48254,14270.0,70.53,180777.0,1598.0,269.0,182644.0,697400,192500,278900,1168800,251.67,1188.67,564.0,835.67,589.67,2245.0,5674.33,0.035211267605633804,0.20698627241471584,0.42187500000000006,0.7787610619469026,0.9159544159544157,0.6552054502874174,0.3609022556390977,0.08128784159711995,0.583169802608796,0.0,0.0,0.5397727272727273,0.7553730560894635,0.0,0.028416347381864625,0.8386308068459658,0.4781783681214421,0.16748768472906403,0.6727838827838828,0.7343603334989787,0.12169700214132761,0.5047293926618607,0.7812017669913246,0.748894783377542,0.8970039149627969,-1.4101076437815165,-1.137022090992664,-0.3206596658208977,1.2919764196767924,2.070391202374544,0.9985013846924462,-0.1630926194285378,-1.388504092156034,-0.49044096877423865,-1.4589859792960012,-1.2274379758077765,0.4439335919999043,0.7505460615062963,-1.2265885369755443,-1.2269783289146836,1.247082844366589,0.30017014208823256,-1.0078634171966827,1.0519034313256104,0.7530524902550895,-0.6314720188708819,0.7286277064989617,1.7703608728319742,1.8744877008891316,1.7813279097591244,0,0,0
80.0,172831.67,72.8,4.5,1.4582,1.7678,1.7,49177,14413.67,71.38,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,256.33,1287.67,336.67,842.0,592.0,2488.67,5803.67,0.029929577464788783,0.22249553036976755,0.42187500000000006,0.7787610619469026,0.8820037986704652,0.6781988503299978,0.4248120300751879,0.09387443408061964,0.599754126745931,0.009222089617011982,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.6898534798534798,0.8254651869029872,0.0,0.5109211311416079,0.7853353912750368,0.8566180371352785,0.928671287579603,-1.4305768112972077,-1.080603459636734,-0.3206596658208977,1.2919764196767924,1.949578652412753,1.0899882500310822,0.5035222073251273,-1.3342296736029844,-0.402755493348701,-1.424343283269223,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,1.113012844067488,1.138707802280909,-1.509897419101028,0.7556935791936523,1.7879354568905852,2.366562776919809,1.9409778927460803,0,0,0
80.2,172831.67,72.9,4.5,1.4637,1.747,1.7,49874,14413.67,72.01,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,256.33,1287.67,336.67,842.0,592.0,2488.67,5803.67,0.033450704225352214,0.22249553036976755,0.4375000000000014,0.7787610619469026,0.8950617283950617,0.656057057696402,0.4248120300751879,0.1033791523482245,0.599754126745931,0.016057285450797484,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.6898534798534798,0.8254651869029872,0.0,0.5109211311416079,0.7853353912750368,0.8566180371352785,0.928671287579603,-1.41693069962008,-1.080603459636734,-0.26518301150442686,1.2919764196767924,1.9960450177826732,1.0018897871123962,0.5035222073251273,-1.2932445493001938,-0.402755493348701,-1.398666932096434,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,1.113012844067488,1.138707802280909,-1.509897419101028,0.7556935791936523,1.7879354568905852,2.366562776919809,1.9409778927460803,0,0,0
80.4,172831.67,72.9,4.5,1.45,1.7435,1.7,49458,14413.67,72.72,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,256.33,1287.67,336.67,842.0,592.0,2488.67,5803.67,0.036971830985915645,0.22249553036976755,0.4375000000000014,0.7787610619469026,0.8625356125356124,0.652331275282095,0.4248120300751879,0.09770632193312606,0.599754126745931,0.023760442660301594,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.6898534798534798,0.8254651869029872,0.0,0.5109211311416079,0.7853353912750368,0.8566180371352785,0.928671287579603,-1.4032845879429523,-1.080603459636734,-0.26518301150442686,1.2919764196767924,1.8803015258612363,0.987065526525117,0.5035222073251273,-1.3177062590705824,-0.402755493348701,-1.369730091885831,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,1.113012844067488,1.138707802280909,-1.509897419101028,0.7556935791936523,1.7879354568905852,2.366562776919809,1.9409778927460803,0,0,0
80.9,173439.33,72.8,4.5,1.4402,1.7685,-1.3,47393,14512.67,73.0,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,250.33,1387.0,426.0,696.0,523.0,2813.0,6095.0,0.0457746478873241,0.23353961091089542,0.42187500000000006,0.7787610619469026,0.8392687559354224,0.6789440068128592,0.322282980177717,0.06954671903125512,0.6111820385547732,0.026798307475317338,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.6678754578754579,0.9168737231516758,0.04782119914346894,0.3681101014349574,0.6629233416715454,1.0,1.0,-1.3691693087501333,-1.040427977965018,-0.3206596658208977,1.2919764196767924,1.7975069112021065,1.0929531021485377,-0.5659133436165814,-1.4391327751183047,-0.34233326137871267,-1.3583183802534804,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,1.0343311967603497,1.525648632013481,-1.1647175440182895,0.13142542541406296,1.2674864010776452,3.02152526474773,2.300579172656316,0,0,1
81.3,173439.33,72.8,4.5,1.4637,1.8702,-1.3,47337,14512.67,73.84,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,250.33,1387.0,426.0,696.0,523.0,2813.0,6095.0,0.05281690140845071,0.23353961091089542,0.42187500000000006,0.7787610619469026,0.8950617283950617,0.7872045986800086,0.322282980177717,0.06878306878306878,0.6111820385547732,0.03591190192036457,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.6678754578754579,0.9168737231516758,0.04782119914346894,0.3681101014349574,0.6629233416715454,1.0,1.0,-1.341877085395879,-1.040427977965018,-0.3206596658208977,1.2919764196767924,1.9960450177826732,1.5237037597846157,-0.5659133436165814,-1.4424256975873955,-0.34233326137871267,-1.3240832453564286,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,1.0343311967603497,1.525648632013481,-1.1647175440182895,0.13142542541406296,1.2674864010776452,3.02152526474773,2.300579172656316,0,0,1
81.5,173439.33,72.9,4.5,1.456,1.8428,-1.3,47121,14512.67,74.62,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,250.33,1387.0,426.0,696.0,523.0,2813.0,6095.0,0.056338028169014134,0.23353961091089542,0.4375000000000014,0.7787610619469026,0.8767806267806266,0.7580370449222907,0.322282980177717,0.06583756068292151,0.6111820385547732,0.0443745253336227,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.6678754578754579,0.9168737231516758,0.04782119914346894,0.3681101014349574,0.6629233416715454,1.0,1.0,-1.3282309737187512,-1.040427977965018,-0.26518301150442686,1.2919764196767924,1.9309921062647852,1.4076509769013457,-0.5659133436165814,-1.4551269699681741,-0.34233326137871267,-1.292293477237738,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,1.0343311967603497,1.525648632013481,-1.1647175440182895,0.13142542541406296,1.2674864010776452,3.02152526474773,2.300579172656316,0,0,1
81.5,173926.67,73.0,4.5,1.454,1.8447,2.57,48935,14560.33,75.4,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,334.33,1306.33,444.67,768.67,593.33,2521.33,5969.0,0.056338028169014134,0.2423969031646455,0.4531250000000005,0.7787610619469026,0.8720322886989552,0.7600596125186289,0.45454545454545453,0.09057437407952872,0.6166835969063834,0.05283714874688082,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.9755677655677655,0.842637071393076,0.057815845824411134,0.4391928242348361,0.7876949278833361,0.8710565870910698,0.969150386966773,-1.3282309737187512,-1.0082074611663217,-0.20970635718796385,1.2919764196767924,1.914095246130269,1.4156984326487259,0.8136585170982229,-1.3484598028444124,-0.31324514445255475,-1.260503709119047,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,2.1358742590602913,1.211397985335472,-1.0925748342030568,0.4421484852439447,1.7979673010098784,2.432517436841678,2.1450518968224173,0,0,0
81.8,173926.67,72.8,4.7273,1.4785,1.8944,2.57,48259,14560.33,76.45,184221.0,1612.0,274.0,186107.0,724600,197300,293400,1215300,334.33,1306.33,444.67,768.67,593.33,2521.33,5969.0,0.061619718309859156,0.2423969031646455,0.42187500000000006,0.8189911504424778,0.93019943019943,0.8129657228017884,0.45454545454545453,0.08135602465499372,0.6166835969063834,0.06422914180318978,0.02349057375931029,0.5795454545454546,0.842739821771798,0.023624195870029403,0.1152618135376756,0.9559902200488998,0.7533206831119544,0.3106527093596059,0.9755677655677655,0.842637071393076,0.057815845824411134,0.4391928242348361,0.7876949278833361,0.8710565870910698,0.969150386966773,-1.30776180620306,-1.0082074611663217,-0.3206596658208977,1.4027451142768845,2.121081782778093,1.6262029329880874,0.8136585170982229,-1.3882100812212939,-0.31324514445255475,-1.2177097904977325,-1.1628149252300524,0.6024900308130818,1.0936355864866965,-1.1616041333028582,-0.9688089667397058,1.6225299413427836,1.2361428033957498,-0.5766279660178524,2.1358742590602913,1.211397985335472,-1.0925748342030568,0.4421484852439447,1.7979673010098784,2.432517436841678,2.1450518968224173,0,0,0
