v4_1,Data Marking,years-quarters-months,Time,administrative-geography,Geography,seasonal-adjustment,SeasonalAdjustment,construction-series-type,SeriesType,construction-classifications,TypeOfWork
26540.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
7984.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-2,Private new housing
6140.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-2,Private housing R&M
8646.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
9046.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1,Total housing R&M
9357.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-2,Private commercial new work
2927.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
17617.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1,All R&M
804.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
1919.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-1,Private industrial new work
44098.0,,2005-q1,2005 - Q1,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1,All work
3699.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-2,Private new housing
2838.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-2,Private commercial new work
4391.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1,Total new housing
2960.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1,Total housing R&M
5772.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1,All R&M
2169.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-2,Private housing R&M
2073.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-3,Infrastructure new work
988.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-1,Public other new work
561.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-2-1-2-1,Private industrial new work
2812.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-2,Non housing R&M
16623.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1,All work
10850.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2,All new work
692.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-2-1-1,Public new housing
791.0,,2019-nov,2019 - Nov,K03000001,Great Britain,seasonal-adjustment,Seasonally adjusted,pounds-million,£million,1-1-1-1,Public housing R&M
